price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
16500000000,150000000,1.0,1.0,1.0,47,5.0,110.0
5630000000,70375000,0.0,1.0,1.0,104,3.0,80.0
3720000000,68888000,1.0,1.0,0.0,105,1.0,54.0
65000000000,232142000,1.0,1.0,1.0,23,3.0,280.0
2720000000,80000000,1.0,1.0,1.0,93,1.0,34.0
12990000000,111025000,1.0,1.0,1.0,11,1.0,117.0
6000000000,60000000,1.0,1.0,1.0,45,6.0,100.0
5120000000,82580000,1.0,1.0,1.0,65,2.0,62.0
22000000000,148648000,1.0,1.0,1.0,35,1.0,147.0
8650000000,72083000,1.0,1.0,1.0,11,15.0,116.0
6050000000,58737000,0.0,1.0,1.0,24,4.0,103.0
31500000000,225000000,1.0,1.0,1.0,31,4.0,140.0
21000000000,144827000,1.0,1.0,1.0,97,4.0,145.0
23000000000,170370000,1.0,1.0,1.0,85,0.0,135.0
3480000000,68235000,1.0,1.0,1.0,108,0.0,51.0
14800000000,134545000,1.0,1.0,1.0,20,6.0,110.0
3450000000,66346000,1.0,0.0,1.0,93,2.0,52.0
14700000000,150000000,1.0,1.0,1.0,90,1.0,98.0
5900000000,78666000,0.0,1.0,1.0,109,2.0,75.0
13300000000,106400000,1.0,1.0,1.0,25,2.0,125.0
21000000000,127272000,0.0,1.0,1.0,77,3.0,165.0
55000000000,220000000,1.0,1.0,1.0,20,2.0,250.0
5550000000,135365000,1.0,1.0,1.0,1,3.0,40.0
10500000000,105000000,1.0,1.0,1.0,110,1.0,100.0
5600000000,90322000,1.0,1.0,1.0,111,3.0,62.0
6900000000,115000000,1.0,1.0,1.0,38,4.0,60.0
5750000000,65340000,1.0,1.0,1.0,112,5.0,88.0
7200000000,120000000,0.0,1.0,1.0,88,1.0,60.0
6700000000,111666000,1.0,1.0,0.0,22,2.0,60.0
12650000000,137500000,1.0,1.0,1.0,113,3.0,92.0
8500000000,72033000,1.0,1.0,1.0,17,11.0,118.0
2848000000,32000000,1.0,0.0,1.0,29,2.0,89.0
21000000000,190909000,1.0,1.0,1.0,114,2.0,110.0
8400000000,80000000,1.0,1.0,1.0,58,4.0,105.0
5950000000,62631000,1.0,1.0,1.0,112,2.0,96.0
3890000000,59846000,0.0,0.0,1.0,24,4.0,65.0
9000000,88000,1.0,1.0,1.0,94,5.0,102.0
11300000000,124175000,1.0,1.0,1.0,38,3.0,91.0
19950000000,133000000,1.0,1.0,1.0,19,7.0,150.0
6900000000,71134000,1.0,1.0,1.0,115,3.0,97.0
8250000000,66000000,1.0,1.0,1.0,41,23.0,125.0
66000000000,594594000,1.0,1.0,1.0,75,7.0,111.0
10000000000,133333000,1.0,1.0,1.0,8,2.0,75.0
25500000000,134210000,1.0,1.0,1.0,97,3.0,190.0
19000000000,146153000,1.0,1.0,1.0,54,1.0,130.0
12900000000,159259000,0.0,1.0,1.0,116,1.0,81.0
4600000000,54117000,0.0,1.0,1.0,34,3.0,85.0
88200000000,420000000,1.0,1.0,1.0,84,6.0,210.0
12000000000,80000000,0.0,1.0,1.0,26,0.0,120.0
2100000000,60000000,0.0,0.0,1.0,111,1.0,35.0
2950000000,49166000,1.0,1.0,1.0,117,3.0,60.0
42000000000,240000000,1.0,1.0,1.0,118,3.0,175.0
13200000000,106451000,0.0,0.0,1.0,70,3.0,124.0
